2024-12-26-10-27-16,19 
2024-12-26-10-27-19,19 
2024-12-26-10-27-21,18 
2024-12-26-10-27-23,18 
2024-12-26-10-27-25,19 
2024-12-26-10-27-27,19 
2024-12-26-10-27-29,19 
2024-12-26-10-27-31,18 
2024-12-26-10-27-33,19 
2024-12-26-10-27-35,18 
2024-12-26-10-29-11,20 
2024-12-26-10-29-13,20 
2024-12-26-10-29-15,18 
2024-12-26-10-29-17,18 
2024-12-26-10-29-19,18 
2024-12-26-10-29-21,18 
2024-12-26-10-29-23,18 
2024-12-26-10-29-25,19 
2024-12-26-10-29-27,18 
2024-12-26-10-29-30,18 
2024-12-26-10-35-56,18 
2024-12-26-10-35-58,18 
2024-12-26-10-36-00,18 
2024-12-26-10-36-02,18 
2024-12-26-10-36-05,18 
2024-12-26-10-36-07,20 
2024-12-26-10-36-09,20 
2024-12-26-10-36-11,20 
2024-12-26-10-36-13,18 
2024-12-26-10-36-15,19 
2024-12-27-10-44-56,18 
2024-12-27-10-44-58,19 
2024-12-27-10-45-00,18 
2024-12-27-10-45-03,18 
2024-12-27-10-45-05,20 
2024-12-27-10-45-07,19 
2024-12-27-10-45-09,20 
